index,ref,jp_content,ch_content
101,#18L4,*武術(ぶじゅつ)*の*中(なか)*でも、いろいろな*理由(りゆう)*から、「*棍術(こんじゅつ)*」が*一番(いちばん)**好(す)きな*んです。,
102,#18L5,*部活(ぶかつ)*を*押(お)し**広(ひろ)める*ために*私(わたし)*たちは*多(おお)く*の*試合(しあい)*と*出演(しゅつえん)*に*参加(さんか)し*ました。,
103,#18L7,*伝統(でんとう)*と*競技(きょうぎ)*と、どちらの*方(ほう)*を*重視(じゅうし)す*べきか、いつも*議論(ぎろん)*になっています。,
104,#18L8,ほかの*見(み)た**目(め)*の*美(うつく)しさ*の*演技(えんぎ)*は*偽物(にせもの)*だ。,
105,#18L12,*特(とく)に**棍(こん)*を*使(つか)*う*時(とき)*、*見(み)え*ないくらい*振(ふ)る*のが*速(はや)い*ので、*彼(かれ)*と*棍(こん)*が*一(ひと)つ*になったようだと*思(おも)い*ます。,
106,#18L15,*素晴(すば)らしい**演技(えんぎ)*を*自分(じぶん)*の*目(め)*で*見(み)られ*て、*本当(ほんとう)に**良(よ)かった*と*思(おも)い*ます。,
107,#19L4,おなかが*痛(いた)く*なるくらい*笑(わら)い*ました。,
108,#19L6,*女性(じょせい)*ゲストは*実際(じっさい)*には*美(うつく)しい*にもかかわらず、ブスの*役割(やくわり)*を*演(えん)じる*ことしかできない。,
109,#19L7,このコントに*出演(しゅつえん)して*いたゲストの*宣伝(せんでん)*は*非常(ひじょう)に**効果的(こうかてき)に*なりました。,
110,#19L10,*素晴(すば)らしい*ものまねで*知(し)られて*います。,
111,#19L12,*表情(ひょうじょう)*も*目付(めつ)き*もダンスも*全(すべ)て**本人(ほんにん)*にそっくりで、*完璧(かんぺき)に*ビヨンセを*再現(さいげん)し*ます。,
112,#19L15,*彼女(かのじょ)*が*積極的(せっきょくてき)に**生活(せいかつ)する**態度(たいど)*と*自分(じぶん)*のことに*率直(そっちょく)に**直面(ちょくめん)する**態度(たいど)*に*私(わたし)*は*頭(あたま)*が*下(さ)がって**憧(あこが)れて*います。,
113,#19L16,*私(わたし)*も*彼女(かのじょ)*のように*自分(じぶん)*の*生活(せいかつ)*をよく*豊(ゆた)か*にしようと*思(おも)い*ます。,
114,#20L4,この*島(しま)*は*開発(かいはつ)*されることもなく、*昔(むかし)*からの*風景(ふうけい)*が*今(いま)*にも*残(のこ)って*います。,
115,#20L6,*海鳥(うみどり)*が*空(そら)*を*飛(と)んで*いて、とてものんびりした*風景(ふうけい)*が*十分(じゅうぶん)**懐(なつ)かしく**思(おも)い*ます。,
116,#20L7,*毎年(まいとし)**沢山(たくさん)*の*観光客(かんこうきゃく)*がその*砂浜(すなはま)*を*目当(めあ)て*に*訪(おとず)れて*きました。,
